입력번호,발전소명,년월,호기,황산화물기준,황산화물평균,질수산화물기준,질수산화물평균,먼지기준,먼지평균,발전소코드
310,군산,201401,8901,180,0,50,28.77601389,30,0,GU
311,군산,201401,8902,180,0,50,27.12032662,30,0,GU
312,군산,201402,8901,180,0,50,25.48148092,30,0,GU
313,군산,201402,8902,180,0,50,25.33992378,30,0,GU
314,군산,201403,8901,180,0,50,23.48285517,30,0,GU
315,군산,201403,8902,180,0,50,23.48915348,30,0,GU
316,군산,201404,8901,180,0,50,24.10759366,30,0,GU
317,군산,201404,8902,180,0,50,21.99990654,30,0,GU
318,군산,201405,8901,180,0,50,23.55713791,30,0,GU
319,군산,201405,8902,180,0,50,19.31592133,30,0,GU
320,군산,201406,8901,180,0,50,16.59784006,30,0,GU
321,군산,201406,8902,180,0,50,15.70532186,30,0,GU
322,군산,201407,8901,180,0,50,17.41263774,30,0,GU
323,군산,201407,8902,180,0,50,17.2234433,30,0,GU
324,군산,201408,8901,180,0,50,13.76636426,30,0,GU
325,군산,201408,8902,180,0,50,12.25291609,30,0,GU
326,군산,201409,8901,180,0.565917313,50,20.63834356,30,0.864648649,GU
327,군산,201409,8902,180,2.444732143,50,21.3557362,30,0.332071373,GU
328,군산,201410,8901,180,5.717980569,50,8.662303956,30,9.330546647,GU
329,군산,201410,8902,180,2.772600555,50,8.601220527,30,3.04447205,GU
330,군산,201411,8901,180,2.247386364,50,23.51247159,30,1.039197133,GU
331,군산,201411,8902,180,3.737919034,50,21.92801136,30,0.780877698,GU
332,군산,201412,8901,180,1.616016043,50,25.73473262,30,0.6700271,GU
333,군산,201412,8902,180,2.823666667,50,27.04622667,30,0.52572,GU
334,태안,201501,8611,100,33.1,140,70.93,25,82.22,TA
335,태안,201501,8612,100,34.93,140,147.16,25,135.62,TA
336,태안,201501,8613,100,43.78,140,80.21,25,9.73,TA
337,태안,201501,8614,100,38.57,140,74.35,25,9.69,TA
338,태안,201501,8615,100,28.22,140,79.86,25,8.49,TA
339,태안,201501,8616,100,52.46,140,77.45,25,8.31,TA
340,태안,201501,8617,100,23.06,140,85.61,25,3.58,TA
341,태안,201501,8618,100,18.02,140,84.08,25,7.32,TA
342,태안,201502,8611,100,35.91,140,72.56,25,8.98,TA
343,태안,201502,8612,100,22.02,140,1336.37,25,981.86,TA
344,태안,201502,8613,100,35.9,140,70.95,25,708.92,TA
345,태안,201502,8614,100,33.11,140,70.88,25,6.43,TA
346,태안,201502,8615,100,33.15,140,82.71,25,9.18,TA
347,태안,201502,8616,100,64.32,140,81.21,25,154.36,TA
348,태안,201502,8617,100,22.52,140,83.84,25,2.07,TA
349,태안,201502,8618,100,19.74,140,82.82,25,7.87,TA
350,태안,201503,8611,100,46.17,140,75.05,25,7.91,TA
351,태안,201503,8612,100,48.37,140,121.32,25,50.05,TA
352,태안,201503,8613,100,48.09,140,76.11,25,98.25,TA
353,태안,201503,8614,100,40.36,140,70.32,25,4.81,TA
354,태안,201503,8615,100,38.25,140,81.9,25,9.45,TA
355,태안,201503,8616,100,225.6,140,138.73,25,544.49,TA
356,태안,201503,8617,100,27.1,140,84.91,25,2.19,TA
357,태안,201503,8618,100,25.15,140,82.97,25,8.54,TA
358,태안,201504,8611,100,50.21,140,77.05,25,8.24,TA
359,태안,201504,8612,100,44.82,140,79.79,25,5.47,TA
360,태안,201504,8613,100,50.43,140,79.16,25,9.03,TA
361,태안,201504,8614,100,45.26,140,72.83,25,5.03,TA
362,태안,201504,8615,100,49.02,140,63.46,25,462.38,TA
363,태안,201504,8616,100,161.44,140,234.64,25,297.99,TA
364,태안,201504,8617,100,42.11,140,81.25,25,27.44,TA
365,태안,201504,8618,100,110.43,140,52.74,25,355.9,TA
366,태안,201504,861B,35,39.36,50,82.67,15,0.41,TA
367,태안,201505,8611,100,38.5,140,74.82,25,8.55,TA
368,태안,201505,8612,100,37.93,140,75.81,25,6.11,TA
369,태안,201505,8613,100,38.22,140,75.69,25,447.14,TA
370,태안,201505,8614,100,32.8,140,74.99,25,5.03,TA
